date,value
2012-06-17,0
2012-06-24,39
2012-07-01,27
2012-07-08,14
2012-07-15,28
2012-07-22,15
2012-07-29,15
2012-08-05,0
2012-08-12,31
2012-08-19,14
2012-08-26,13
2012-09-02,54
2012-09-09,26
2012-09-16,58
2012-09-23,44
2012-09-30,29
2012-10-07,41
2012-10-14,42
2012-10-21,0
2012-10-28,26
2012-11-04,14
2012-11-11,27
2012-11-18,0
2012-11-25,0
2012-12-02,51
2012-12-09,77
2012-12-16,13
2012-12-23,0
2012-12-30,27
2013-01-06,80
2013-01-13,63
2013-01-20,11
2013-01-27,22
2013-02-03,11
2013-02-10,25
2013-02-17,36
2013-02-24,12
2013-03-03,61
2013-03-10,80
2013-03-17,12
2013-03-24,0
2013-03-31,0
2013-04-07,46
2013-04-14,35
2013-04-21,46
2013-04-28,0
2013-05-05,24
2013-05-12,0
2013-05-19,22
2013-05-26,31
2013-06-02,52
2013-06-09,0
2013-06-16,30
2013-06-23,10
2013-06-30,9
2013-07-07,0
2013-07-14,31
2013-07-21,31
2013-07-28,32
2013-08-04,22
2013-08-11,19
2013-08-18,28
2013-08-25,20
2013-09-01,20
2013-09-08,20
2013-09-15,20
2013-09-22,100
2013-09-29,44
2013-10-06,44
2013-10-13,11
2013-10-20,76
2013-10-27,33
2013-11-03,31
2013-11-10,33
2013-11-17,11
2013-11-24,21
2013-12-01,21
2013-12-08,33
2013-12-15,34
2013-12-22,43
2013-12-29,31
2014-01-05,20
2014-01-12,9
2014-01-19,36
2014-01-26,9
2014-02-02,0
2014-02-09,18
2014-02-16,27
2014-02-23,52
2014-03-02,17
2014-03-09,19
2014-03-16,19
2014-03-23,37
2014-03-30,29
2014-04-06,9
2014-04-13,18
2014-04-20,9
2014-04-27,38
2014-05-04,10
2014-05-11,9
2014-05-18,9
2014-05-25,35
2014-06-01,0
2014-06-08,18
2014-06-15,9
2014-06-22,29
2014-06-29,53
2014-07-06,0
2014-07-13,29
2014-07-20,0
2014-07-27,29
2014-08-03,0
2014-08-10,19
2014-08-17,19
2014-08-24,27
2014-08-31,0
2014-09-07,18
2014-09-14,28
2014-09-21,50
2014-09-28,31
2014-10-05,0
2014-10-12,78
2014-10-19,10
2014-10-26,49
2014-11-02,96
2014-11-09,56
2014-11-16,19
2014-11-23,37
2014-11-30,18
2014-12-07,19
2014-12-14,38
2014-12-21,37
2014-12-28,19
2015-01-04,37
2015-01-11,28
2015-01-18,67
2015-01-25,23
2015-02-01,24
2015-02-08,88
2015-02-15,26
2015-02-22,35
2015-03-01,51
2015-03-08,43
2015-03-15,27
2015-03-22,29
2015-03-29,9
2015-04-05,27
2015-04-12,17
2015-04-19,9
2015-04-26,26
2015-05-03,44
2015-05-10,51
2015-05-17,32
2015-05-24,16
2015-05-31,16
2015-06-07,8
2015-06-14,36
2015-06-21,0
2015-06-28,8
2015-07-05,34
2015-07-12,25
2015-07-19,30
2015-07-26,15
2015-08-02,23
2015-08-09,46
2015-08-16,23
2015-08-23,23
2015-08-30,31
2015-09-06,31
2015-09-13,24
2015-09-20,17
2015-09-27,17
2015-10-04,25
2015-10-11,64
2015-10-18,56
2015-10-25,25
2015-11-01,25
2015-11-08,17
2015-11-15,41
2015-11-22,31
2015-11-29,16
2015-12-06,43
2015-12-13,26
2015-12-20,35
2015-12-27,26
2016-01-03,9
2016-01-10,50
2016-01-17,40
2016-01-24,23
2016-01-31,28
2016-02-07,14
2016-02-14,22
2016-02-21,36
2016-02-28,28
2016-03-06,36
2016-03-13,44
2016-03-20,58
2016-03-27,37
2016-04-03,65
2016-04-10,37
2016-04-17,37
2016-04-24,7
2016-05-01,22
2016-05-08,44
2016-05-15,50
2016-05-22,14
2016-05-29,28
2016-06-05,64
2016-06-12,68
2016-06-19,59
2016-06-26,29
2016-07-03,14
2016-07-10,20
2016-07-17,40
2016-07-24,13
2016-07-31,53
2016-08-07,33
2016-08-14,41
2016-08-21,35
2016-08-28,56
2016-09-04,22
2016-09-11,15
2016-09-18,41
2016-09-25,58
2016-10-02,29
2016-10-09,59
2016-10-16,51
2016-10-23,50
2016-10-30,29
2016-11-06,36
2016-11-13,44
2016-11-20,51
2016-11-27,45
2016-12-04,45
2016-12-11,45
2016-12-18,66
2016-12-25,61
2017-01-01,23
2017-01-08,29
2017-01-15,13
2017-01-22,33
2017-01-29,38
2017-02-05,39
2017-02-12,21
2017-02-19,35
2017-02-26,33
2017-03-05,33
2017-03-12,33
2017-03-19,41
2017-03-26,84
2017-04-02,28
2017-04-09,56
2017-04-16,35
2017-04-23,49
2017-04-30,21
2017-05-07,28
2017-05-14,35
2017-05-21,35
2017-05-28,30
2017-06-04,44
