Category: Health

Day,Treatment of cancer: (Egypt)
2017-03-11,0
2017-03-12,36
2017-03-13,36
2017-03-14,0
2017-03-15,37
2017-03-16,0
2017-03-17,18
2017-03-18,35
2017-03-19,36
2017-03-20,19
2017-03-21,0
2017-03-22,38
2017-03-23,0
2017-03-24,19
2017-03-25,38
2017-03-26,19
2017-03-27,19
2017-03-28,0
2017-03-29,39
2017-03-30,0
2017-03-31,38
2017-04-01,57
2017-04-02,19
2017-04-03,0
2017-04-04,0
2017-04-05,19
2017-04-06,19
2017-04-07,0
2017-04-08,56
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,20
2017-04-15,0
2017-04-16,55
2017-04-17,0
2017-04-18,0
2017-04-19,37
2017-04-20,19
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,19
2017-04-25,19
2017-04-26,19
2017-04-27,19
2017-04-28,19
2017-04-29,19
2017-04-30,19
2017-05-01,38
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,20
2017-05-07,19
2017-05-08,19
2017-05-09,0
2017-05-10,19
2017-05-11,38
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,0
2017-05-17,18
2017-05-18,19
2017-05-19,19
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,19
2017-05-26,20
2017-05-27,0
2017-05-28,21
2017-05-29,21
2017-05-30,20
2017-05-31,20
2017-06-01,0
2017-06-02,0
2017-06-03,57
2017-06-04,19
2017-06-05,0
2017-06-06,40
2017-06-07,100
2017-06-08,0
2017-06-09,0
