Category: Food & Drink

Day,McDonald's: (Egypt),Subway: (Egypt),KFC: (Egypt)
2017-03-11,81,0,9
2017-03-12,43,0,34
2017-03-13,61,4,22
2017-03-14,49,4,22
2017-03-15,49,0,22
2017-03-16,58,0,31
2017-03-17,100,4,26
2017-03-18,30,8,30
2017-03-19,26,4,9
2017-03-20,69,0,27
2017-03-21,46,0,37
2017-03-22,49,9,13
2017-03-23,76,13,31
2017-03-24,75,4,18
2017-03-25,59,0,9
2017-03-26,41,14,9
2017-03-27,66,4,9
2017-03-28,80,9,22
2017-03-29,60,5,23
2017-03-30,69,5,14
2017-03-31,51,14,46
2017-04-01,45,13,31
2017-04-02,46,0,14
2017-04-03,56,0,9
2017-04-04,54,0,14
2017-04-05,59,5,18
2017-04-06,41,5,36
2017-04-07,60,0,37
2017-04-08,54,0,36
2017-04-09,54,9,18
2017-04-10,45,0,14
2017-04-11,27,4,27
2017-04-12,22,0,27
2017-04-13,83,0,14
2017-04-14,42,5,46
2017-04-15,72,4,22
2017-04-16,79,0,13
2017-04-17,41,0,9
2017-04-18,44,9,35
2017-04-19,35,0,13
2017-04-20,50,5,45
2017-04-21,37,5,46
2017-04-22,46,5,41
2017-04-23,56,4,39
2017-04-24,46,0,37
2017-04-25,54,0,31
2017-04-26,32,0,5
2017-04-27,51,0,32
2017-04-28,41,5,14
2017-04-29,28,9,33
2017-04-30,64,5,27
2017-05-01,60,9,41
2017-05-02,64,0,18
2017-05-03,69,0,23
2017-05-04,74,9,37
2017-05-05,90,5,52
2017-05-06,57,0,29
2017-05-07,56,5,14
2017-05-08,98,0,9
2017-05-09,65,9,9
2017-05-10,63,14,54
2017-05-11,60,9,37
2017-05-12,45,0,54
2017-05-13,45,9,36
2017-05-14,50,5,55
2017-05-15,77,5,32
2017-05-16,50,0,23
2017-05-17,61,4,13
2017-05-18,85,0,13
2017-05-19,93,0,33
2017-05-20,59,5,41
2017-05-21,65,4,35
2017-05-22,42,4,21
2017-05-23,33,4,25
2017-05-24,76,9,36
2017-05-25,47,0,37
2017-05-26,39,24,53
2017-05-27,36,0,16
2017-05-28,36,5,5
2017-05-29,15,10,15
2017-05-30,40,0,10
2017-05-31,44,5,15
2017-06-01,67,0,10
2017-06-02,55,14,42
2017-06-03,50,0,41
2017-06-04,40,4,45
2017-06-05,33,0,5
2017-06-06,49,0,24
2017-06-07,49,5,5
2017-06-08,44,0,5
2017-06-09,40,0,40
