Category: Food & Drink

Region,McDonald's: (11/06/2012 - 11/06/2017),Subway: (11/06/2012 - 11/06/2017),KFC: (11/06/2012 - 11/06/2017)
South Sinai Governorate,100,7,24
Giza Governorate,68,15,35
Cairo Governorate,67,15,38
New Valley Governorate,53,36,18
Alexandria Governorate,51,14,22
Red Sea Governorate,47,8,15
Matrouh Governorate,21,32,43
Port Said Governorate,40,15,23
Shamal Sina,9,37,14
Monufia Governorate,7,22,8
Assiut Governorate,21,12,9
Qalyubia Governorate,12,20,6
Gharbia Governorate,20,9,11
Faiyum Governorate,18,9,15
Beni Suef Governorate,10,18,6
Ismailia Governorate,14,11,18
Kafr el-Sheikh,0,18,13
Luxor Governorate,18,17,6
El Beheira Governorate,9,17,10
Suez,15,17,11
Damietta Governorate,11,16,10
Dakahlia Governorate,16,15,10
Ash Sharqia Governorate,15,12,5
Aswan Governorate,0,13,0
Menia Governorate,12,13,7
Sohag Governorate,6,10,5
Qena,7,10,4
