date,value
2016-06-12,61
2016-06-19,89
2016-06-26,69
2016-07-03,30
2016-07-10,26
2016-07-17,36
2016-07-24,43
2016-07-31,27
2016-08-07,53
2016-08-14,19
2016-08-21,19
2016-08-28,57
2016-09-04,39
2016-09-11,20
2016-09-18,47
2016-09-25,60
2016-10-02,59
2016-10-09,100
2016-10-16,49
2016-10-23,78
2016-10-30,50
2016-11-06,39
2016-11-13,70
2016-11-20,30
2016-11-27,40
2016-12-04,51
2016-12-11,10
2016-12-18,20
2016-12-25,62
2017-01-01,41
2017-01-08,10
2017-01-15,27
2017-01-22,27
2017-01-29,35
2017-02-05,62
2017-02-12,94
2017-02-19,75
2017-02-26,46
2017-03-05,36
2017-03-12,90
2017-03-19,65
2017-03-26,38
2017-04-02,38
2017-04-09,76
2017-04-16,66
2017-04-23,57
2017-04-30,29
2017-05-07,48
2017-05-14,75
2017-05-21,28
2017-05-28,80
2017-06-04,36
