date,mc,sub,kfc
2012-06-17,25,0,20
2012-06-24,28,2,19
2012-07-01,22,0,21
2012-07-08,18,0,17
2012-07-15,29,0,21
2012-07-22,26,0,13
2012-07-29,29,1,11
2012-08-05,14,1,14
2012-08-12,31,0,20
2012-08-19,34,0,20
2012-08-26,34,0,16
2012-09-02,27,0,15
2012-09-09,33,0,17
2012-09-16,28,1,18
2012-09-23,27,1,17
2012-09-30,24,3,15
2012-10-07,23,0,11
2012-10-14,15,0,10
2012-10-21,19,2,17
2012-10-28,29,0,24
2012-11-04,28,3,16
2012-11-11,24,1,23
2012-11-18,21,2,11
2012-11-25,25,4,8
2012-12-02,20,2,8
2012-12-09,20,4,8
2012-12-16,20,3,16
2012-12-23,21,2,21
2012-12-30,22,3,26
2013-01-06,27,2,20
2013-01-13,22,4,24
2013-01-20,26,4,15
2013-01-27,18,4,21
2013-02-03,23,10,17
2013-02-10,30,1,24
2013-02-17,28,4,6
2013-02-24,22,8,15
2013-03-03,33,6,17
2013-03-10,33,12,22
2013-03-17,19,9,17
2013-03-24,27,10,13
2013-03-31,22,10,14
2013-04-07,24,13,16
2013-04-14,19,14,25
2013-04-21,21,21,14
2013-04-28,21,12,13
2013-05-05,28,11,14
2013-05-12,16,13,15
2013-05-19,21,12,14
2013-05-26,29,17,18
2013-06-02,31,11,21
2013-06-09,23,15,15
2013-06-16,22,10,18
2013-06-23,23,15,21
2013-06-30,26,13,11
2013-07-07,20,17,8
2013-07-14,28,17,22
2013-07-21,23,18,13
2013-07-28,26,17,22
2013-08-04,51,21,27
2013-08-11,34,21,20
2013-08-18,18,20,14
2013-08-25,25,24,14
2013-09-01,31,32,15
2013-09-08,26,36,15
2013-09-15,25,31,11
2013-09-22,24,33,19
2013-09-29,21,31,12
2013-10-06,27,37,17
2013-10-13,27,33,22
2013-10-20,29,36,21
2013-10-27,21,30,21
2013-11-03,34,24,28
2013-11-10,31,43,19
2013-11-17,29,28,25
2013-11-24,21,29,15
2013-12-01,27,21,20
2013-12-08,36,38,21
2013-12-15,27,28,26
2013-12-22,23,27,22
2013-12-29,32,27,24
2014-01-05,34,30,18
2014-01-12,39,24,18
2014-01-19,27,34,23
2014-01-26,29,39,24
2014-02-02,38,26,19
2014-02-09,43,39,15
2014-02-16,28,39,17
2014-02-23,25,25,20
2014-03-02,26,36,16
2014-03-09,30,35,16
2014-03-16,33,20,11
2014-03-23,33,36,16
2014-03-30,32,24,12
2014-04-06,30,21,20
2014-04-13,32,22,14
2014-04-20,34,24,23
2014-04-27,26,20,23
2014-05-04,43,23,19
2014-05-11,32,29,11
2014-05-18,26,26,19
2014-05-25,34,28,26
2014-06-01,32,32,20
2014-06-08,28,16,14
2014-06-15,46,27,23
2014-06-22,35,17,18
2014-06-29,23,29,13
2014-07-06,29,28,19
2014-07-13,28,24,20
2014-07-20,34,21,16
2014-07-27,66,24,42
2014-08-03,43,28,23
2014-08-10,38,15,12
2014-08-17,35,18,18
2014-08-24,32,15,18
2014-08-31,36,18,17
2014-09-07,25,19,13
2014-09-14,31,13,19
2014-09-21,21,12,13
2014-09-28,41,11,21
2014-10-05,38,20,26
2014-10-12,43,9,13
2014-10-19,49,7,19
2014-10-26,46,9,15
2014-11-02,35,8,17
2014-11-09,32,12,17
2014-11-16,33,10,18
2014-11-23,35,13,17
2014-11-30,41,10,14
2014-12-07,35,14,21
2014-12-14,31,8,13
2014-12-21,32,10,17
2014-12-28,35,8,21
2015-01-04,40,11,14
2015-01-11,28,17,25
2015-01-18,31,11,17
2015-01-25,28,15,16
2015-02-01,31,19,17
2015-02-08,42,14,16
2015-02-15,29,10,17
2015-02-22,28,8,15
2015-03-01,32,7,19
2015-03-08,31,10,16
2015-03-15,29,9,20
2015-03-22,24,9,10
2015-03-29,27,9,18
2015-04-05,30,8,14
2015-04-12,30,6,15
2015-04-19,35,8,18
2015-04-26,34,9,18
2015-05-03,35,9,19
2015-05-10,44,7,20
2015-05-17,40,8,19
2015-05-24,38,16,19
2015-05-31,33,6,23
2015-06-07,41,12,18
2015-06-14,28,13,26
2015-06-21,30,7,13
2015-06-28,37,13,21
2015-07-05,40,14,21
2015-07-12,50,9,23
2015-07-19,55,10,21
2015-07-26,37,9,18
2015-08-02,40,10,18
2015-08-09,41,9,19
2015-08-16,44,6,21
2015-08-23,35,6,26
2015-08-30,30,8,15
2015-09-06,35,9,16
2015-09-13,42,6,17
2015-09-20,52,7,22
2015-09-27,52,5,25
2015-10-04,45,5,17
2015-10-11,39,7,18
2015-10-18,45,8,20
2015-10-25,34,3,11
2015-11-01,36,8,17
2015-11-08,44,8,21
2015-11-15,37,3,15
2015-11-22,33,4,15
2015-11-29,35,6,19
2015-12-06,35,6,24
2015-12-13,37,3,28
2015-12-20,36,7,26
2015-12-27,49,9,23
2016-01-03,35,4,24
2016-01-10,51,5,28
2016-01-17,50,5,25
2016-01-24,32,8,17
2016-01-31,36,6,16
2016-02-07,29,9,17
2016-02-14,37,8,16
2016-02-21,41,6,15
2016-02-28,36,10,20
2016-03-06,37,6,17
2016-03-13,30,7,21
2016-03-20,36,4,27
2016-03-27,31,5,17
2016-04-03,38,3,22
2016-04-10,33,2,27
2016-04-17,34,4,27
2016-04-24,40,2,28
2016-05-01,49,5,21
2016-05-08,43,6,22
2016-05-15,53,5,23
2016-05-22,46,4,25
2016-05-29,54,11,23
2016-06-05,44,7,17
2016-06-12,46,5,20
2016-06-19,41,4,19
2016-06-26,56,4,27
2016-07-03,100,10,35
2016-07-10,63,7,25
2016-07-17,49,8,25
2016-07-24,46,3,18
2016-07-31,51,5,31
2016-08-07,57,3,24
2016-08-14,48,6,30
2016-08-21,54,5,23
2016-08-28,49,5,38
2016-09-04,61,5,28
2016-09-11,81,7,31
2016-09-18,61,2,18
2016-09-25,47,7,23
2016-10-02,51,4,24
2016-10-09,52,2,19
2016-10-16,40,5,11
2016-10-23,45,3,16
2016-10-30,39,3,15
2016-11-06,48,3,20
2016-11-13,53,2,22
2016-11-20,51,1,27
2016-11-27,55,2,25
2016-12-04,51,2,15
2016-12-11,44,5,24
2016-12-18,45,5,20
2016-12-25,47,5,27
2017-01-01,57,4,29
2017-01-08,63,3,24
2017-01-15,55,2,20
2017-01-22,48,5,19
2017-01-29,45,4,14
2017-02-05,50,4,19
2017-02-12,63,3,25
2017-02-19,61,2,21
2017-02-26,58,3,19
2017-03-05,50,4,15
2017-03-12,42,2,18
2017-03-19,51,3,21
2017-03-26,42,4,18
2017-04-02,52,2,19
2017-04-09,42,3,22
2017-04-16,45,3,25
2017-04-23,49,4,24
2017-04-30,55,3,25
2017-05-07,55,3,22
2017-05-14,56,3,24
2017-05-21,46,5,27
2017-05-28,38,6,17
2017-06-04,50,3,32
