Category: Food & Drink

Region,McDonald's: (11/06/2016 - 11/06/2017),Subway: (11/06/2016 - 11/06/2017),KFC: (11/06/2016 - 11/06/2017)
South Sinai Governorate,100,0,0
Cairo Governorate,84,5,39
Giza Governorate,80,5,32
Port Said Governorate,71,5,18
Red Sea Governorate,70,4,15
Alexandria Governorate,68,4,23
Matrouh Governorate,52,0,52
Qalyubia Governorate,38,5,14
Assiut Governorate,35,2,6
Ismailia Governorate,32,1,18
Menia Governorate,30,4,9
Faiyum Governorate,29,6,25
New Valley Governorate,0,0,27
Damietta Governorate,25,9,13
Qena,23,6,0
Suez,22,5,15
Gharbia Governorate,21,4,15
Dakahlia Governorate,20,4,7
Luxor Governorate,20,10,10
Ash Sharqia Governorate,18,3,4
Shamal Sina,11,0,0
Sohag Governorate,10,3,5
El Beheira Governorate,10,8,3
Kafr el-Sheikh,0,6,9
Monufia Governorate,7,6,3
Beni Suef Governorate,7,2,5
