Category: Food & Drink

Region,McDonald's: (11/03/2017 - 11/06/2017),Subway: (11/03/2017 - 11/06/2017),KFC: (11/03/2017 - 11/06/2017)
South Sinai Governorate,100,0,20
Giza Governorate,78,4,31
Cairo Governorate,73,3,36
Shamal Sina,63,0,0
Alexandria Governorate,59,3,25
Ismailia Governorate,58,0,13
Red Sea Governorate,53,0,26
Qalyubia Governorate,39,0,0
Port Said Governorate,38,0,0
Assiut Governorate,32,5,14
Dakahlia Governorate,25,2,13
Faiyum Governorate,24,8,16
Monufia Governorate,8,21,3
Damietta Governorate,19,0,0
Gharbia Governorate,16,2,11
Menia Governorate,12,4,8
El Beheira Governorate,8,8,11
Sohag Governorate,10,5,5
Ash Sharqia Governorate,10,2,4
Kafr el-Sheikh,0,0,9
Suez,9,0,0
Beni Suef Governorate,7,0,7
